0	0.000709410628988071
1.25	1.2526192519485
2.5	2.50531416869922
3.75	3.75196980598412
5	5.00050489670216
6.25	6.25276809148927
7.5	7.50536096311113
8.75	8.75245977443408
10	10.0013735947173
11.25	11.2541311985399
12.5	12.5059178866068
13.75	13.7531925152752
15	15.0022623386907
16.25	16.2550668709129
17.5	17.5073787708126
18.75	18.7547757223133
20	20.0037554934131
21.25	21.2561163108585
22.5	22.5079987869343
23.75	23.7557199499459
25	25.005054387736
26.25	26.2579315720731
27.5	27.5104371530094
28.75	28.7578935085253
30	30.0068993895824
31.25	31.2594745133856
32.5	32.5118467829055
33.75	33.7599033970693
35	35.0099479793481
36.25	36.2627495761313
37.5	37.5152753382106
38.75	38.7630243106442
40	40.0123573772753
41.25	41.2659105429987
42.5	42.5183747187956
43.75	43.7667865017643
45	45.0166687079183
46.25	46.2696807872639
47.5	47.5216483331339
48.75	48.7699830994535
50	50.020113041208
51.25	51.2732589920209
52.5	52.5260732189166
53.75	53.7749964441918
55	55.0249634304585
56.25	56.2772356246835
57.5	57.5298568850903
58.75	58.7791078559904
60	60.0286195981575
61.25	61.2817235258439
62.5	62.535087181944
63.75	63.7837332786046
65	65.0324375819304
66.25	66.2849822698663
67.5	67.5385294488391
68.75	68.7875237619491
70	70.0370377056954
71.25	71.2902197121964
72.5	72.5432675575485
73.75	73.7917795316846
75	75.0411801327244
76.25	76.2943799256681
77.5	77.5477296770572
78.75	78.7969306682462
80	80.0465339304484
81.25	81.2996088127385
82.5	82.5522611463119
83.75	83.8010485109736
85	85.0509351975345
86.25	86.3039036701615
87.5	87.5570110354014
88.75	88.8059944757999
90	90.0556318238562
91.25	91.3077941322403
92.5	92.5604048868655
93.75	93.809863617322
95	95.0600603016891
96.25	96.3124354100875
97.5	97.5658030251678
98.75	98.8148519335805
100	100.064077200077
101.25	101.316407832713
102.5	102.568956692062
103.75	103.818410691054
105	105.068618074324
106.25	106.321247696869
107.5	107.573739546904
108.75	108.822419903227
110	110.071458305858
111.25	111.324349163161
112.5	112.576851383792
113.75	113.826093200758
115	115.075869035873
116.25	116.327610688126
117.5	117.579805518084
118.75	118.828636798458
120	120.078064610244
121.25	121.330445222591
122.5	122.58291687217
123.75	123.832062514884
125	125.081293362578
126.25	126.332630445678
127.5	127.584573619679
128.75	128.833506404443
130	130.082537738846
131.25	131.334605205514
132.5	132.586600290437
133.75	133.835029917785
135	135.083453442509
136.25	136.334656789327
137.5	137.586755251913
138.75	138.835666329878
140	140.084748570973
141.25	141.33630409322
142.5	142.587869638446
143.75	143.836195868818
145	145.085075294254
146.25	146.336398743012
147.5	147.588197269396
148.75	148.837129513421
150	150.086745888538
151.25	151.337802231661
152.5	152.588240413821
153.75	153.837118410161
155	155.086747376767
156.25	156.337413634811
157.5	157.589043740382
158.75	158.83844901495
160	160.087767018144
161.25	161.337940064503
162.5	162.588444100919
163.75	163.838528215063
165	165.088173751449
166.25	166.338382756935
167.5	167.590095614849
168.75	168.83993720766
170	170.088478246505
171.25	171.338951364251
172.5	172.590688304352
173.75	173.840244193976
175	175.089602482208
176.25	176.340678195366
177.5	177.592050735479
178.75	178.841351415721
180	180.090093879753
181.25	181.341272603645
182.5	182.593473323793
183.75	183.843486408039
185	185.093796415801
186.25	186.344865369724
187.5	187.595871269646
188.75	188.846102677166
190	190.096362280351
191.25	191.347514874973
192.5	192.599526220683
193.75	193.850480209683
195	195.100296638829
196.25	196.350679627012
197.5	197.602451174393
198.75	198.853355222307
200	200.103303224781
201.25	201.353805156178
202.5	202.606325935736
203.75	203.857328803658
205	205.106271398968
206.25	206.357269361617
207.5	207.609948210702
208.75	208.860750329359
210	210.110403725769
211.25	211.361344988097
212.5	212.613580547271
213.75	213.863563388771
215	215.113217499729
216.25	216.364743474465
217.5	217.616936952576
218.75	218.86769330156
220	220.117684292765
221.25	221.368502884643
222.5	222.619938111828
223.75	223.870576792195
225	225.121170900239
226.25	226.371483032331
227.5	227.624216476718
228.75	228.875278980401
230	230.124793831816
231.25	231.374592995946
232.5	232.626908738953
233.75	233.878054864023
235	235.127770599887
236.25	236.377715261368
237.5	237.63085798706
238.75	238.881774066411
240	240.130396756809
241.25	241.380425754224
242.5	242.63382471284
243.75	243.884654698856
245	245.134059316812
246.25	246.38336631211
247.5	247.636879154172
248.75	248.887339101067
250	250.136326674254
251.25	251.38667389643
252.5	252.639443493066
253.75	253.890528263598
255	255.140558265242
256.25	256.389699466174
257.5	257.642141973797
258.75	258.893454549843
260	260.143498996938
261.25	261.392452098029
262.5	262.644881125807
263.75	263.896819240039
265	265.14636782969
266.25	266.394567044389
267.5	267.646768923264
268.75	268.898624883828
270	270.14856301782
271.25	271.396819859821
272.5	272.649057272957
273.75	273.900679460568
275	275.149925178577
276.25	276.39907393054
277.5	277.651228224403
278.75	278.902222884683
280	280.151421597045
281.25	281.400629598525
282.5	282.651752645637
283.75	283.902055334113
285	285.152066429213
286.25	286.402319562844
287.5	287.652803920232
288.75	288.904024165136
290	290.154130140576
291.25	291.403835023041
292.5	292.652518179618
293.75	293.904159660016
295	295.154978560887
296.25	296.404326748891
297.5	297.653865354188
298.75	298.905668863093
300	300.155584092935
301.25	301.267871150181
