15.0	15.0	10361.0	0.49
45.01	15.0	10220.52	0.5
75.04	15.0	10081.85	0.48
105.08	15.0	9944.25	0.47
135.1	15.0	9807.72	0.47
165.09	15.0	9663.71	0.47
195.12	15.0	9506.35	0.7
225.15	15.0	9349.89	0.5
255.16	15.0	9213.17	0.48
285.18	15.0	9074.22	0.48
15.0	45.01	10328.76	0.47
45.01	45.01	10189.17	0.53
75.04	45.0	10051.52	0.48
105.08	45.01	9911.91	0.46
135.1	45.01	9776.67	0.44
165.11	45.01	9631.0	0.47
195.12	45.01	9474.59	0.63
225.16	45.03	9321.98	0.49
255.16	45.01	9181.85	0.5
285.18	45.01	9044.52	0.45
15.0	75.04	10298.95	0.49
45.01	75.04	10163.36	0.46
75.04	75.04	10022.95	0.49
105.08	75.04	9884.53	0.47
135.1	75.04	9748.77	0.5
165.11	75.04	9602.86	0.47
195.12	75.04	9449.48	0.52
225.15	75.04	9296.22	0.48
255.16	75.04	9158.34	0.46
285.18	75.04	9020.28	0.44
15.0	105.08	10272.96	0.45
45.01	105.08	10137.01	0.54
75.04	105.08	9997.77	0.51
105.08	105.08	9859.21	0.55
135.1	105.08	9725.79	0.5
165.09	105.09	9580.36	0.49
195.12	105.08	9424.62	0.5
225.15	105.08	9273.46	0.55
255.16	105.09	9134.35	0.47
285.18	105.08	8998.77	0.42
15.0	135.1	10250.05	0.46
45.01	135.1	10112.11	0.44
75.04	135.1	9973.25	0.48
105.1	135.08	9836.82	0.49
135.1	135.1	9699.89	0.48
165.11	135.1	9554.67	0.48
195.12	135.1	9402.82	0.47
225.15	135.1	9251.5	0.53
255.16	135.1	9113.47	0.46
285.18	135.1	8976.58	0.44
15.0	165.11	10224.9	0.43
45.01	165.11	10085.39	0.49
75.04	165.11	9950.41	0.52
105.08	165.11	9812.29	0.62
135.1	165.11	9672.5	0.53
165.11	165.11	9530.2	0.5
195.12	165.11	9377.57	0.44
225.15	165.11	9225.68	0.41
255.16	165.11	9090.87	0.54
285.18	165.11	8953.39	0.41
15.0	195.13	10194.99	0.48
45.01	195.12	10055.17	0.46
75.04	195.12	9915.46	0.44
105.08	195.12	9782.31	0.49
135.1	195.12	9641.34	0.45
165.11	195.12	9499.1	0.46
195.12	195.12	9347.44	0.43
225.15	195.12	9199.58	0.41
255.16	195.12	9061.98	0.46
285.18	195.12	8924.89	0.42
15.0	225.15	10163.21	0.45
45.01	225.15	10026.16	0.5
75.04	225.15	9890.25	0.44
105.07	225.16	9749.42	0.44
135.1	225.15	9611.73	0.41
165.11	225.15	9468.15	0.43
195.12	225.15	9319.64	0.43
225.15	225.15	9169.31	0.42
255.16	225.15	9033.98	0.4
285.18	225.15	8897.21	0.49
14.99	255.17	10134.1	0.5
45.01	255.16	9996.39	0.43
75.04	255.16	9856.25	0.48
105.08	255.16	9722.24	0.51
135.1	255.16	9583.11	0.43
165.11	255.16	9440.29	0.49
195.12	255.16	9293.28	0.43
225.14	255.17	9142.12	0.48
255.16	255.16	9005.72	0.41
285.18	255.16	8866.84	0.42
15.0	285.18	10103.64	0.45
45.01	285.18	9967.09	0.47
75.04	285.18	9829.73	0.57
105.08	285.18	9690.87	0.45
135.1	285.18	9553.17	0.41
165.11	285.18	9410.35	0.45
195.12	285.18	9263.68	0.42
225.15	285.18	9116.13	0.39
255.16	285.18	8980.22	0.4
285.18	285.18	8843.91	0.42
