12.5	12.5	8012.7	0.62
67.53	12.5	7707.34	0.65
122.59	12.5	7408.24	0.65
177.61	12.5	7097.08	0.67
232.65	12.5	6769.82	0.64
287.68	12.5	6473.87	0.66
12.5	67.53	8003.43	0.56
67.53	67.53	7700.08	0.59
122.59	67.53	7401.82	0.63
177.61	67.53	7093.22	0.63
232.65	67.53	6767.0	0.61
287.68	67.53	6470.59	0.59
12.5	122.59	8005.9	0.52
67.53	122.59	7704.0	0.53
122.59	122.59	7405.37	0.61
177.61	122.59	7095.55	0.57
232.65	122.59	6774.58	0.55
287.68	122.59	6476.54	0.56
12.5	177.61	8004.49	0.47
67.53	177.61	7702.8	0.52
122.59	177.61	7407.53	0.54
177.61	177.61	7099.86	0.56
232.65	177.61	6776.81	0.53
287.68	177.61	6480.57	0.51
12.5	232.65	7997.13	0.46
67.53	232.65	7697.03	0.54
122.59	232.65	7396.82	0.47
177.61	232.65	7093.72	0.51
232.65	232.65	6775.22	0.5
287.68	232.65	6476.89	0.5
12.5	287.68	7991.68	0.45
67.53	287.68	7691.77	0.47
122.59	287.68	7392.51	0.46
177.61	287.68	7091.18	0.47
232.65	287.68	6774.47	0.49
287.68	287.68	6477.77	0.51
